,speed,gust,visibility,ceiling,cover,precipitation,obscuration,thunderstorms,snow,clouds,reason,fuel,holding_flights
112,1.54,0.0,1500.0,91.0,6.0,False,True,False,False,False,,954.242207661616,4.0
113,1.03,0.0,9999.0,3048.0,0.0,False,False,False,False,False,,35.7379024021206,1.0
114,1.54,0.0,2500.0,91.0,6.0,False,True,False,False,False,Weather,502.5355831410329,3.0
115,1.03,0.0,9999.0,3048.0,0.0,False,False,False,False,False,,80.91105409179094,1.0
116,1.03,0.0,9999.0,3048.0,0.0,False,False,False,False,False,,364.0702457228116,4.0
117,1.54,0.0,9999.0,3048.0,0.0,False,False,False,False,False,,106.7845392467088,1.0
118,0.0,0.0,9999.0,3048.0,0.0,False,False,False,False,False,,77.42120594994412,1.0
119,1.54,0.0,9999.0,3048.0,0.0,False,False,False,False,False,,106.6707589122159,1.0
120,1.03,0.0,2500.0,91.0,6.0,False,True,False,False,False,Weather,1850.977447666257,5.0
121,9.26,15.95,6000.0,3048.0,4.0,True,False,False,False,True,Weather,947.3480503707046,1.0
122,7.2,0.0,9000.0,1219.0,6.0,True,False,True,False,True,,997.1323793445482,6.0
123,6.69,0.0,9999.0,914.0,6.0,True,False,False,False,True,,662.5766681623802,4.0
124,1.03,0.0,1800.0,91.0,6.0,False,True,False,False,False,Weather,945.227295715492,3.0
125,5.66,0.0,9999.0,3048.0,0.0,False,False,False,False,False,,129.87332024254974,1.0
126,1.03,0.0,500.0,61.0,6.0,False,True,False,False,False,Weather,306.45434985016624,4.0
127,1.54,0.0,9999.0,3048.0,0.0,False,False,False,False,False,,107.05936071380503,1.0
128,2.06,0.0,9999.0,3048.0,0.0,False,False,False,False,False,,78.27005756242222,1.0
129,0.51,0.0,200.0,30.0,10.0,False,True,False,False,False,Weather,382.1950852145114,3.0
130,7.2,0.0,9999.0,3048.0,4.0,False,False,False,False,False,,188.71027196710224,1.0
131,9.77,0.0,9999.0,1463.0,6.0,False,False,False,False,False,,,
132,1.54,0.0,200.0,30.0,10.0,False,True,False,False,False,Weather,537.6924346790134,5.0
133,9.77,16.46,9999.0,1463.0,6.0,False,False,False,False,False,,,
134,1.54,0.0,9999.0,3048.0,0.0,False,False,False,False,False,,,
135,1.54,0.0,200.0,30.0,10.0,False,True,False,False,False,Weather,444.03831759877903,4.0
136,1.03,0.0,150.0,30.0,10.0,False,True,False,False,False,Weather,1065.888326593001,5.0
137,5.66,0.0,9999.0,3048.0,0.0,False,False,False,False,False,,304.704325764689,1.0
138,5.66,0.0,9999.0,3048.0,4.0,True,False,False,False,True,,116.69335454436656,1.0
139,8.23,0.0,9999.0,610.0,6.0,False,False,False,False,False,,82.69199094328826,1.0
140,1.03,0.0,150.0,30.0,10.0,False,True,False,False,False,Weather,24.05255623822481,1.0
141,9.26,0.0,9999.0,640.0,6.0,False,False,False,False,False,,36.10529407218044,1.0
142,1.54,0.0,4500.0,3048.0,0.0,False,True,False,False,False,,254.6661479179224,1.0
143,8.23,0.0,9999.0,610.0,6.0,False,False,False,False,False,,229.23979907741952,1.0
144,7.72,0.0,9999.0,762.0,6.0,False,False,False,False,False,,23.33539088157977,1.0
145,8.23,0.0,9999.0,732.0,6.0,False,False,False,False,False,,88.8497141895133,1.0
146,6.17,0.0,9999.0,3048.0,4.0,True,False,False,False,True,,729.1601811261354,1.0
147,3.6,0.0,9999.0,3048.0,0.0,False,False,False,False,False,,605.2008809618987,2.0
148,6.17,0.0,9999.0,3048.0,0.0,False,False,False,False,False,,4285.660248274938,4.0
149,4.63,0.0,300.0,30.0,10.0,False,True,False,False,False,,49.20788356127288,1.0
150,1.03,0.0,200.0,61.0,10.0,False,True,False,False,False,Weather,79.63726087753831,1.0
151,6.17,0.0,9999.0,3048.0,4.0,False,False,False,False,False,,107.65400859342608,1.0
152,5.66,0.0,9999.0,3048.0,4.0,False,False,False,False,False,,358.61846852324214,1.0
153,6.17,0.0,400.0,30.0,10.0,False,True,False,False,False,,455.9648185922909,1.0
154,9.77,0.0,9999.0,3048.0,0.0,False,False,False,False,False,,48.169898397956025,1.0
155,5.66,0.0,9999.0,3048.0,4.0,False,False,False,False,False,,4251.734622436789,15.0
156,2.57,0.0,150.0,30.0,10.0,False,True,False,False,False,Weather,32.8190955912617,1.0
157,5.66,0.0,500.0,30.0,8.0,False,True,False,False,False,,138.4537951070656,1.0
158,1.03,0.0,200.0,61.0,10.0,False,True,False,False,False,Weather,1064.2303408189189,6.0
159,7.72,0.0,9999.0,549.0,6.0,False,False,False,False,False,,1209.4157798417757,1.0
160,9.77,0.0,9999.0,3048.0,0.0,False,False,False,False,False,,62.79731688615642,1.0
161,1.03,0.0,3200.0,61.0,8.0,False,True,False,False,False,,495.4670535587245,2.0
162,2.06,0.0,100.0,0.0,10.0,False,True,False,False,False,Weather,114.952694009931,2.0
163,5.66,0.0,9999.0,1158.0,6.0,False,False,False,False,False,,1733.7062375035914,8.0
164,1.03,0.0,200.0,61.0,10.0,False,True,False,False,False,,613.8170424460485,4.0
165,1.03,0.0,9999.0,3048.0,2.0,False,False,False,False,False,,210.52786420811117,1.0
166,2.57,0.0,6000.0,91.0,6.0,False,False,False,False,False,Weather,107.99919527351594,1.0
167,2.57,0.0,100.0,30.0,10.0,False,True,False,False,False,Weather,882.3942722678962,1.0
168,1.03,0.0,500.0,183.0,6.0,False,True,False,False,False,,108.95787217272904,1.0
169,5.14,0.0,9999.0,884.0,6.0,False,False,False,False,False,,4520.584380326585,15.0
170,1.03,0.0,3000.0,457.0,6.0,False,True,False,False,False,,569.7724999299317,2.0
171,4.12,0.0,9999.0,3048.0,2.0,False,False,False,False,False,,41.54551183854756,1.0
172,1.03,0.0,3800.0,61.0,8.0,False,True,False,False,False,,281.80428102778234,1.0
173,3.09,0.0,9999.0,3048.0,2.0,False,False,False,False,False,,36.43169397613843,1.0
174,1.03,0.0,9999.0,3048.0,0.0,False,False,False,False,False,,399.6664508494365,3.0
175,1.54,0.0,9999.0,3048.0,4.0,False,False,False,False,False,,,
176,5.14,0.0,9999.0,3048.0,0.0,False,False,False,False,False,,3254.579711426069,11.0
177,3.6,0.0,9999.0,3048.0,4.0,False,False,False,False,False,,2738.607377516244,6.0
178,2.57,0.0,100.0,30.0,10.0,False,True,False,False,False,Weather,291.8069522378103,3.0
179,4.12,0.0,8000.0,91.0,8.0,False,False,False,False,False,,37.81603281373948,1.0
180,2.57,0.0,100.0,30.0,10.0,False,True,False,False,False,Weather,1822.635046638136,9.0
181,3.6,0.0,5000.0,91.0,8.0,False,True,False,False,False,,144.93668225673522,1.0
182,4.12,0.0,9999.0,3048.0,4.0,False,False,False,False,False,,118.8967680915315,1.0
183,0.0,0.0,800.0,91.0,10.0,True,True,False,False,False,,21.10889626928872,1.0
184,9.77,0.0,9999.0,3048.0,2.0,False,False,False,False,False,,97.86391972711388,1.0
185,1.54,0.0,100.0,30.0,10.0,False,True,False,False,False,Weather,529.9677876878615,3.0
186,6.69,0.0,9999.0,518.0,6.0,False,False,False,False,True,,66.41401445387558,1.0
187,2.06,0.0,3500.0,3048.0,4.0,False,True,False,False,False,,102.20386703367112,1.0
188,6.69,0.0,9999.0,488.0,6.0,False,False,False,False,True,,179.58717731479348,1.0
189,1.54,0.0,150.0,30.0,10.0,False,True,False,False,False,Weather,108.46128316407554,1.0
190,0.0,0.0,700.0,91.0,10.0,True,True,False,False,False,,89.07278178778098,1.0
191,4.63,0.0,6000.0,274.0,6.0,True,False,False,False,False,,177.79702157115375,1.0
192,1.03,0.0,9999.0,3048.0,0.0,False,False,False,False,False,,95.32858888115231,1.0
193,0.0,0.0,550.0,61.0,6.0,True,True,False,False,False,,277.0012429737062,3.0
194,5.14,0.0,9000.0,122.0,6.0,False,False,False,False,False,,692.895128572481,4.0
